type;term_id;term_name
2;GO:0009056;Catabolic process
3;GO:0007049;Cell cycle
4;GO:0030154;Cell differentiation
6;GO:0007017;Microtubule-based process
7;GO:0001578;Microtubule bundle formation
8;GO:0044782;Cilium organization
9;GO:0060271;Cilium assembly
10;GO:0003341;Cilium movement
11;GO:0035082;Axoneme assembly
13;GO:0030031;Cell projection assembly
14;GO:0002009;Morphogenesis of an epithelium
15;GO:0048729;Tissue morphogenesis
16;GO:0048731;System development
17;GO:0048856;Anatomical structure development
18;GO:0007275;Multicellular organism development
19;GO:0032502;Developmental process
20;GO:0048856;Anatomical structure development
21;GO:0007399;Nervous system development
22;GO:0022008;Neurogenesis
23;GO:0048880;Sensory system development
24;GO:0060537;Muscle tissue development
25;GO:0031032;Actomyosin structure organization
26;GO:0007507;Heart development
27;GO:0040011;Locomotion
28;GO:0001655;Urogenital system development
29;GO:0001822;Kidney development
30;GO:0055123;Digestive system development
31;GO:0003002;Regionalization
32;GO:0023052;Signaling
33;GO:0016055;Wnt signaling pathway
